update_id,ticket_id,updated_at,update_type,old_status,new_status,update_notes
1,1,2025-08-29 02:39:27.779795,Created,,Open,Ticket created by employee
2,1,2025-08-29 06:28:03.779795,First Response,Open,In Progress,Support agent responded to ticket
3,1,2025-08-29 07:51:27.779795,Resolved,In Progress,Resolved,Issue resolved by support team
4,1,2025-08-29 17:55:06.824554,Closed,Resolved,Closed,Ticket closed after user confirmation
5,2,2024-06-30 16:33:27.779795,Created,,Open,Ticket created by employee
6,2,2024-06-30 16:51:27.779795,First Response,Open,In Progress,Support agent responded to ticket
7,2,2024-06-30 19:41:51.779795,Resolved,In Progress,Resolved,Issue resolved by support team
8,3,2026-02-01 16:03:27.779795,Created,,Open,Ticket created by employee
9,3,2026-02-01 23:43:39.779795,First Response,Open,In Progress,Support agent responded to ticket
10,3,2026-02-03 21:43:39.779795,Resolved,In Progress,Resolved,Issue resolved by support team
11,4,2026-04-28 12:33:27.779795,Created,,Open,Ticket created by employee
12,4,2026-04-28 15:35:15.779795,First Response,Open,In Progress,Support agent responded to ticket
13,4,2026-04-29 15:07:03.779795,Resolved,In Progress,Resolved,Issue resolved by support team
14,5,2025-10-03 19:45:27.779795,Created,,Open,Ticket created by employee
15,5,2025-10-04 01:22:39.779795,First Response,Open,In Progress,Support agent responded to ticket
16,5,2025-10-03 23:21:39.256067,Escalation,In Progress,Escalated,Ticket escalated to higher support tier
17,6,2025-11-23 07:47:27.779795,Created,,Open,Ticket created by employee
18,6,2025-11-23 09:42:03.779795,First Response,Open,In Progress,Support agent responded to ticket
19,6,2025-11-23 18:04:15.779795,Resolved,In Progress,Resolved,Issue resolved by support team
20,7,2025-04-17 21:49:27.779795,Created,,Open,Ticket created by employee
21,7,2025-04-18 03:36:51.779795,First Response,Open,In Progress,Support agent responded to ticket
22,7,2025-04-20 05:48:51.779795,Resolved,In Progress,Resolved,Issue resolved by support team
23,8,2026-03-13 14:49:27.779795,Created,,Open,Ticket created by employee
24,8,2026-03-13 15:25:27.779795,First Response,Open,In Progress,Support agent responded to ticket
25,8,2026-03-13 18:48:51.779795,Resolved,In Progress,Resolved,Issue resolved by support team
26,9,2025-05-16 14:47:27.779795,Created,,Open,Ticket created by employee
27,9,2025-05-16 22:55:51.779795,First Response,Open,In Progress,Support agent responded to ticket
28,9,2025-05-17 10:38:27.779795,Resolved,In Progress,Resolved,Issue resolved by support team
29,10,2026-01-14 08:56:27.779795,Created,,Open,Ticket created by employee
30,10,2026-01-14 10:03:03.779795,First Response,Open,In Progress,Support agent responded to ticket
31,10,2026-01-14 16:45:39.779795,Resolved,In Progress,Resolved,Issue resolved by support team
32,11,2026-05-04 20:58:27.779795,Created,,Open,Ticket created by employee
33,11,2026-05-05 00:50:39.779795,First Response,Open,In Progress,Support agent responded to ticket
34,12,2025-02-03 07:25:27.779795,Created,,Open,Ticket created by employee
35,12,2025-02-03 11:56:03.779795,First Response,Open,In Progress,Support agent responded to ticket
36,12,2025-02-03 22:48:51.779795,Resolved,In Progress,Resolved,Issue resolved by support team
37,12,2025-02-05 10:06:25.522088,Closed,Resolved,Closed,Ticket closed after user confirmation
38,13,2026-01-21 11:32:27.779795,Created,,Open,Ticket created by employee
39,13,2026-01-21 15:22:51.779795,First Response,Open,In Progress,Support agent responded to ticket
40,13,2026-01-22 06:45:39.779795,Resolved,In Progress,Resolved,Issue resolved by support team
41,13,2026-01-22 09:10:02.539495,Closed,Resolved,Closed,Ticket closed after user confirmation
