ticket_id,employee_id,agent_id,team_id,system_id,sla_id,created_at,first_response_at,resolved_at,status,priority,category,subcategory,first_response_time_hours,resolution_time_hours,sla_breached,satisfaction_score,ticket_summary
1,42,31,1,9,3,2025-08-29 02:39:27.779795,2025-08-29 06:28:03.779795,2025-08-29 07:51:27.779795,Closed,Medium,Account Lockout,Too many login attempts,3.81,5.2,False,5.0,Too many login attempts - account lockout reported by user
2,65,31,6,2,1,2024-06-30 16:33:27.779795,2024-06-30 16:51:27.779795,2024-06-30 19:41:51.779795,Resolved,Critical,Email Issue,Outlook not syncing,0.3,3.14,False,3.0,Outlook not syncing - email issue reported by user
3,297,2,3,10,4,2026-02-01 16:03:27.779795,2026-02-01 23:43:39.779795,2026-02-03 21:43:39.779795,Resolved,Low,Hardware,Laptop issue,7.67,53.67,False,2.0,Laptop issue - hardware reported by user
4,290,3,3,9,4,2026-04-28 12:33:27.779795,2026-04-28 15:35:15.779795,2026-04-29 15:07:03.779795,Resolved,Low,Application Error,Application crash,3.03,26.56,False,5.0,Application crash - application error reported by user
5,79,28,2,9,3,2025-10-03 19:45:27.779795,2025-10-04 01:22:39.779795,,Open,Medium,Printer Issue,Unable to print,5.62,,,,Unable to print - printer issue reported by user
6,126,6,3,8,3,2025-11-23 07:47:27.779795,2025-11-23 09:42:03.779795,2025-11-23 18:04:15.779795,Resolved,Medium,Hardware,Monitor not working,1.91,10.28,False,1.0,Monitor not working - hardware reported by user
7,142,1,5,4,4,2025-04-17 21:49:27.779795,2025-04-18 03:36:51.779795,2025-04-20 05:48:51.779795,Resolved,Low,Software Access,Permission issue,5.79,55.99,False,5.0,Permission issue - software access reported by user
8,208,16,3,10,1,2026-03-13 14:49:27.779795,2026-03-13 15:25:27.779795,2026-03-13 18:48:51.779795,Resolved,Critical,Hardware,Laptop issue,0.6,3.99,False,4.0,Laptop issue - hardware reported by user
9,99,21,1,9,3,2025-05-16 14:47:27.779795,2025-05-16 22:55:51.779795,2025-05-17 10:38:27.779795,Resolved,Medium,VPN Issue,VPN disconnecting,8.14,19.85,False,4.0,VPN disconnecting - vpn issue reported by user
10,117,24,2,5,2,2026-01-14 08:56:27.779795,2026-01-14 10:03:03.779795,2026-01-14 16:45:39.779795,Resolved,High,WiFi/Network,WiFi disconnecting,1.11,7.82,False,4.0,WiFi disconnecting - wifi/network reported by user
11,146,31,4,8,3,2026-05-04 20:58:27.779795,2026-05-05 00:50:39.779795,,In Progress,Medium,Password Reset,Password reset request,3.87,,,,Password reset request - password reset reported by user
12,28,10,2,10,3,2025-02-03 07:25:27.779795,2025-02-03 11:56:03.779795,2025-02-03 22:48:51.779795,Closed,Medium,VPN Issue,VPN disconnecting,4.51,15.39,False,4.0,VPN disconnecting - vpn issue reported by user
13,220,20,5,10,3,2026-01-21 11:32:27.779795,2026-01-21 15:22:51.779795,2026-01-22 06:45:39.779795,Closed,Medium,Printer Issue,Print queue stuck,3.84,19.22,False,5.0,Print queue stuck - printer issue reported by user
14,2,27,4,10,2,2025-02-15 13:23:27.779795,2025-02-15 13:33:03.779795,2025-02-15 15:46:15.779795,Resolved,High,VPN Issue,VPN connection failed,0.16,2.38,False,5.0,VPN connection failed - vpn issue reported by user
15,102,28,1,9,4,2024-08-01 13:32:27.779795,2024-08-01 14:49:15.779795,,In Progress,Low,Application Error,CRM login issue,1.28,,,,CRM login issue - application error reported by user
16,292,19,4,2,4,2025-02-16 20:22:27.779795,2025-02-16 22:52:27.779795,2025-02-17 17:47:39.779795,Resolved,Low,Application Error,CRM login issue,2.5,21.42,False,4.0,CRM login issue - application error reported by user
